"Name","Version","FirstDate","FirstBucket","LastDate","LastBucket","Description"
"busybox-find","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-fold","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-fsync","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ftpget","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ftpput","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-getopt","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-grep","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-groups","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-gunzip","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-gzip","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-hd","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-head","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-hexdump","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-httpd","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-iconv","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-id","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-ipcalc","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-kill","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
